lf;Category;NCP;Time.Scenario;Method
categories/04-Fut.C-45_14-Red.dam-cat.Reg_Method A.tif;Regulating/maintenance;Reduction of species damage and-or disease vector species;RCP 4.5 (2070-2099);Method 'NCP-BIN'
categories/04-Fut.C-45_14-Red.dam-cat.Reg_Method B.tif;Regulating/maintenance;Reduction of species damage and-or disease vector species;RCP 4.5 (2070-2099);Method 'NCP-BIN-SP'
categories/04-Fut.C-45_14-Red.dam-cat.Reg_Method C.tif;Regulating/maintenance;Reduction of species damage and-or disease vector species;RCP 4.5 (2070-2099);Method 'NCP-HS'
categories/04-Fut.C-45_15-Red.run-cat.Reg_Method A.tif;Regulating/maintenance;Reduce runoff from agroecosystems;RCP 4.5 (2070-2099);Method 'NCP-BIN'
categories/04-Fut.C-45_15-Red.run-cat.Reg_Method B.tif;Regulating/maintenance;Reduce runoff from agroecosystems;RCP 4.5 (2070-2099);Method 'NCP-BIN-SP'
categories/04-Fut.C-45_15-Red.run-cat.Reg_Method C.tif;Regulating/maintenance;Reduce runoff from agroecosystems;RCP 4.5 (2070-2099);Method 'NCP-HS'
categories/04-Fut.C-45_16-Key.spe-cat.Reg_Method A.tif;Regulating/maintenance;Keystone species;RCP 4.5 (2070-2099);Method 'NCP-BIN'
categories/04-Fut.C-45_16-Key.spe-cat.Reg_Method B.tif;Regulating/maintenance;Keystone species;RCP 4.5 (2070-2099);Method 'NCP-BIN-SP'
categories/04-Fut.C-45_16-Key.spe-cat.Reg_Method C.tif;Regulating/maintenance;Keystone species;RCP 4.5 (2070-2099);Method 'NCP-HS'
categories/04-Fut.C-45_17-Red.lan-cat.Reg_Method A.tif;Regulating/maintenance;Reduce landslide;RCP 4.5 (2070-2099);Method 'NCP-BIN'
categories/04-Fut.C-45_17-Red.lan-cat.Reg_Method B.tif;Regulating/maintenance;Reduce landslide;RCP 4.5 (2070-2099);Method 'NCP-BIN-SP'
categories/04-Fut.C-45_17-Red.lan-cat.Reg_Method C.tif;Regulating/maintenance;Reduce landslide;RCP 4.5 (2070-2099);Method 'NCP-HS'
categories/04-Fut.C-45_18-Tot-cat.Reg_Method A.tif;Regulating/maintenance;Total Regulating/maintenance services;RCP 4.5 (2070-2099);Method 'NCP-BIN'
categories/04-Fut.C-45_18-Tot-cat.Reg_Method B.tif;Regulating/maintenance;Total Regulating/maintenance services;RCP 4.5 (2070-2099);Method 'NCP-BIN-SP'
categories/04-Fut.C-45_18-Tot-cat.Reg_Method C.tif;Regulating/maintenance;Total Regulating/maintenance services;RCP 4.5 (2070-2099);Method 'NCP-HS'
categories/04-Fut.C-45_21-Ico.spe-cat.NonM_Method A.tif;Non-material;Iconic species;RCP 4.5 (2070-2099);Method 'NCP-BIN'
categories/04-Fut.C-45_21-Ico.spe-cat.NonM_Method B.tif;Non-material;Iconic species;RCP 4.5 (2070-2099);Method 'NCP-BIN-SP'
categories/04-Fut.C-45_21-Ico.spe-cat.NonM_Method C.tif;Non-material;Iconic species;RCP 4.5 (2070-2099);Method 'NCP-HS'
categories/04-Fut.C-45_22-Sci.int-cat.NonM_Method A.tif;Non-material;Scientific interest;RCP 4.5 (2070-2099);Method 'NCP-BIN'
categories/04-Fut.C-45_22-Sci.int-cat.NonM_Method B.tif;Non-material;Scientific interest;RCP 4.5 (2070-2099);Method 'NCP-BIN-SP'
categories/04-Fut.C-45_22-Sci.int-cat.NonM_Method C.tif;Non-material;Scientific interest;RCP 4.5 (2070-2099);Method 'NCP-HS'
categories/04-Fut.C-45_23-Lin.end-cat.NonM_Method A.tif;Non-material;Linked with an endangered habitat;RCP 4.5 (2070-2099);Method 'NCP-BIN'
categories/04-Fut.C-45_23-Lin.end-cat.NonM_Method B.tif;Non-material;Linked with an endangered habitat;RCP 4.5 (2070-2099);Method 'NCP-BIN-SP'
categories/04-Fut.C-45_23-Lin.end-cat.NonM_Method C.tif;Non-material;Linked with an endangered habitat;RCP 4.5 (2070-2099);Method 'NCP-HS'
categories/04-Fut.C-45_24-Tot-cat.NonM_Method A.tif;Non-material;Total Non-material services;RCP 4.5 (2070-2099);Method 'NCP-BIN'
categories/04-Fut.C-45_24-Tot-cat.NonM_Method B.tif;Non-material;Total Non-material services;RCP 4.5 (2070-2099);Method 'NCP-BIN-SP'
categories/04-Fut.C-45_24-Tot-cat.NonM_Method C.tif;Non-material;Total Non-material services;RCP 4.5 (2070-2099);Method 'NCP-HS'
categories/04-Fut.C-45_27-Tot-cat.All_Method A.tif;All;Total NCPs;RCP 4.5 (2070-2099);Method 'NCP-BIN'
categories/04-Fut.C-45_27-Tot-cat.All_Method B.tif;All;Total NCPs;RCP 4.5 (2070-2099);Method 'NCP-BIN-SP'
categories/04-Fut.C-45_27-Tot-cat.All_Method C.tif;All;Total NCPs;RCP 4.5 (2070-2099);Method 'NCP-HS'
categories/05-Fut.A-85_01-Pot.cro-cat.Mat_Method A.tif;Material;Potential crop (genetic ressources);RCP 8.5 (2020-2049);Method 'NCP-BIN'
categories/05-Fut.A-85_01-Pot.cro-cat.Mat_Method B.tif;Material;Potential crop (genetic ressources);RCP 8.5 (2020-2049);Method 'NCP-BIN-SP'
categories/05-Fut.A-85_01-Pot.cro-cat.Mat_Method C.tif;Material;Potential crop (genetic ressources);RCP 8.5 (2020-2049);Method 'NCP-HS'
categories/05-Fut.A-85_02-Sol.woo-cat.Mat_Method A.tif;Material;Solid wood;RCP 8.5 (2020-2049);Method 'NCP-BIN'
categories/05-Fut.A-85_02-Sol.woo-cat.Mat_Method B.tif;Material;Solid wood;RCP 8.5 (2020-2049);Method 'NCP-BIN-SP'
categories/05-Fut.A-85_02-Sol.woo-cat.Mat_Method C.tif;Material;Solid wood;RCP 8.5 (2020-2049);Method 'NCP-HS'
categories/05-Fut.A-85_03-Bur.woo-cat.Mat_Method A.tif;Material;Burned wood;RCP 8.5 (2020-2049);Method 'NCP-BIN'
categories/05-Fut.A-85_03-Bur.woo-cat.Mat_Method B.tif;Material;Burned wood;RCP 8.5 (2020-2049);Method 'NCP-BIN-SP'
categories/05-Fut.A-85_03-Bur.woo-cat.Mat_Method C.tif;Material;Burned wood;RCP 8.5 (2020-2049);Method 'NCP-HS'
categories/05-Fut.A-85_04-Wil.foo-cat.Mat_Method A.tif;Material;Wild food;RCP 8.5 (2020-2049);Method 'NCP-BIN'
categories/05-Fut.A-85_04-Wil.foo-cat.Mat_Method B.tif;Material;Wild food;RCP 8.5 (2020-2049);Method 'NCP-BIN-SP'
categories/05-Fut.A-85_04-Wil.foo-cat.Mat_Method C.tif;Material;Wild food;RCP 8.5 (2020-2049);Method 'NCP-HS'
categories/05-Fut.A-85_05-Wil.use-cat.Mat_Method A.tif;Material;Wild use medicinal, dye, fur;RCP 8.5 (2020-2049);Method 'NCP-BIN'
categories/05-Fut.A-85_05-Wil.use-cat.Mat_Method B.tif;Material;Wild use medicinal, dye, fur;RCP 8.5 (2020-2049);Method 'NCP-BIN-SP'
categories/05-Fut.A-85_05-Wil.use-cat.Mat_Method C.tif;Material;Wild use medicinal, dye, fur;RCP 8.5 (2020-2049);Method 'NCP-HS'
categories/05-Fut.A-85_06-Mel-cat.Mat_Method A.tif;Material;Mellifera (for domestic species);RCP 8.5 (2020-2049);Method 'NCP-BIN'
categories/05-Fut.A-85_06-Mel-cat.Mat_Method B.tif;Material;Mellifera (for domestic species);RCP 8.5 (2020-2049);Method 'NCP-BIN-SP'
categories/05-Fut.A-85_06-Mel-cat.Mat_Method C.tif;Material;Mellifera (for domestic species);RCP 8.5 (2020-2049);Method 'NCP-HS'
categories/05-Fut.A-85_07-For.pas-cat.Mat_Method A.tif;Material;Forage-pasture;RCP 8.5 (2020-2049);Method 'NCP-BIN'
categories/05-Fut.A-85_07-For.pas-cat.Mat_Method B.tif;Material;Forage-pasture;RCP 8.5 (2020-2049);Method 'NCP-BIN-SP'
categories/05-Fut.A-85_07-For.pas-cat.Mat_Method C.tif;Material;Forage-pasture;RCP 8.5 (2020-2049);Method 'NCP-HS'
categories/05-Fut.A-85_08-Tot-cat.Mat_Method A.tif;Material;Total material services;RCP 8.5 (2020-2049);Method 'NCP-BIN'
categories/05-Fut.A-85_08-Tot-cat.Mat_Method B.tif;Material;Total material services;RCP 8.5 (2020-2049);Method 'NCP-BIN-SP'
categories/05-Fut.A-85_08-Tot-cat.Mat_Method C.tif;Material;Total material services;RCP 8.5 (2020-2049);Method 'NCP-HS'
categories/05-Fut.A-85_11-Dec-cat.Reg_Method A.tif;Regulating/maintenance;Decontamination;RCP 8.5 (2020-2049);Method 'NCP-BIN'
categories/05-Fut.A-85_11-Dec-cat.Reg_Method B.tif;Regulating/maintenance;Decontamination;RCP 8.5 (2020-2049);Method 'NCP-BIN-SP'
categories/05-Fut.A-85_11-Dec-cat.Reg_Method C.tif;Regulating/maintenance;Decontamination;RCP 8.5 (2020-2049);Method 'NCP-HS'
categories/05-Fut.A-85_12-Riv.ero-cat.Reg_Method A.tif;Regulating/maintenance;Riverbank erosion;RCP 8.5 (2020-2049);Method 'NCP-BIN'
categories/05-Fut.A-85_12-Riv.ero-cat.Reg_Method B.tif;Regulating/maintenance;Riverbank erosion;RCP 8.5 (2020-2049);Method 'NCP-BIN-SP'
categories/05-Fut.A-85_12-Riv.ero-cat.Reg_Method C.tif;Regulating/maintenance;Riverbank erosion;RCP 8.5 (2020-2049);Method 'NCP-HS'
categories/05-Fut.A-85_13-Hed.cro-cat.Reg_Method A.tif;Regulating/maintenance;Hedge for crop yield;RCP 8.5 (2020-2049);Method 'NCP-BIN'
categories/05-Fut.A-85_13-Hed.cro-cat.Reg_Method B.tif;Regulating/maintenance;Hedge for crop yield;RCP 8.5 (2020-2049);Method 'NCP-BIN-SP'
categories/05-Fut.A-85_13-Hed.cro-cat.Reg_Method C.tif;Regulating/maintenance;Hedge for crop yield;RCP 8.5 (2020-2049);Method 'NCP-HS'
categories/05-Fut.A-85_14-Red.dam-cat.Reg_Method A.tif;Regulating/maintenance;Reduction of species damage and-or disease vector species;RCP 8.5 (2020-2049);Method 'NCP-BIN'
categories/05-Fut.A-85_14-Red.dam-cat.Reg_Method B.tif;Regulating/maintenance;Reduction of species damage and-or disease vector species;RCP 8.5 (2020-2049);Method 'NCP-BIN-SP'
categories/05-Fut.A-85_14-Red.dam-cat.Reg_Method C.tif;Regulating/maintenance;Reduction of species damage and-or disease vector species;RCP 8.5 (2020-2049);Method 'NCP-HS'
categories/05-Fut.A-85_15-Red.run-cat.Reg_Method A.tif;Regulating/maintenance;Reduce runoff from agroecosystems;RCP 8.5 (2020-2049);Method 'NCP-BIN'
categories/05-Fut.A-85_15-Red.run-cat.Reg_Method B.tif;Regulating/maintenance;Reduce runoff from agroecosystems;RCP 8.5 (2020-2049);Method 'NCP-BIN-SP'
categories/05-Fut.A-85_15-Red.run-cat.Reg_Method C.tif;Regulating/maintenance;Reduce runoff from agroecosystems;RCP 8.5 (2020-2049);Method 'NCP-HS'
categories/05-Fut.A-85_16-Key.spe-cat.Reg_Method A.tif;Regulating/maintenance;Keystone species;RCP 8.5 (2020-2049);Method 'NCP-BIN'
categories/05-Fut.A-85_16-Key.spe-cat.Reg_Method B.tif;Regulating/maintenance;Keystone species;RCP 8.5 (2020-2049);Method 'NCP-BIN-SP'
categories/05-Fut.A-85_16-Key.spe-cat.Reg_Method C.tif;Regulating/maintenance;Keystone species;RCP 8.5 (2020-2049);Method 'NCP-HS'
categories/05-Fut.A-85_17-Red.lan-cat.Reg_Method A.tif;Regulating/maintenance;Reduce landslide;RCP 8.5 (2020-2049);Method 'NCP-BIN'
categories/05-Fut.A-85_17-Red.lan-cat.Reg_Method B.tif;Regulating/maintenance;Reduce landslide;RCP 8.5 (2020-2049);Method 'NCP-BIN-SP'
categories/05-Fut.A-85_17-Red.lan-cat.Reg_Method C.tif;Regulating/maintenance;Reduce landslide;RCP 8.5 (2020-2049);Method 'NCP-HS'
categories/05-Fut.A-85_18-Tot-cat.Reg_Method A.tif;Regulating/maintenance;Total Regulating/maintenance services;RCP 8.5 (2020-2049);Method 'NCP-BIN'
categories/05-Fut.A-85_18-Tot-cat.Reg_Method B.tif;Regulating/maintenance;Total Regulating/maintenance services;RCP 8.5 (2020-2049);Method 'NCP-BIN-SP'
categories/05-Fut.A-85_18-Tot-cat.Reg_Method C.tif;Regulating/maintenance;Total Regulating/maintenance services;RCP 8.5 (2020-2049);Method 'NCP-HS'
categories/05-Fut.A-85_21-Ico.spe-cat.NonM_Method A.tif;Non-material;Iconic species;RCP 8.5 (2020-2049);Method 'NCP-BIN'
categories/05-Fut.A-85_21-Ico.spe-cat.NonM_Method B.tif;Non-material;Iconic species;RCP 8.5 (2020-2049);Method 'NCP-BIN-SP'
categories/05-Fut.A-85_21-Ico.spe-cat.NonM_Method C.tif;Non-material;Iconic species;RCP 8.5 (2020-2049);Method 'NCP-HS'
categories/05-Fut.A-85_22-Sci.int-cat.NonM_Method A.tif;Non-material;Scientific interest;RCP 8.5 (2020-2049);Method 'NCP-BIN'
categories/05-Fut.A-85_22-Sci.int-cat.NonM_Method B.tif;Non-material;Scientific interest;RCP 8.5 (2020-2049);Method 'NCP-BIN-SP'
categories/05-Fut.A-85_22-Sci.int-cat.NonM_Method C.tif;Non-material;Scientific interest;RCP 8.5 (2020-2049);Method 'NCP-HS'
categories/05-Fut.A-85_23-Lin.end-cat.NonM_Method A.tif;Non-material;Linked with an endangered habitat;RCP 8.5 (2020-2049);Method 'NCP-BIN'
categories/05-Fut.A-85_23-Lin.end-cat.NonM_Method B.tif;Non-material;Linked with an endangered habitat;RCP 8.5 (2020-2049);Method 'NCP-BIN-SP'
categories/05-Fut.A-85_23-Lin.end-cat.NonM_Method C.tif;Non-material;Linked with an endangered habitat;RCP 8.5 (2020-2049);Method 'NCP-HS'
categories/05-Fut.A-85_24-Tot-cat.NonM_Method A.tif;Non-material;Total Non-material services;RCP 8.5 (2020-2049);Method 'NCP-BIN'
categories/05-Fut.A-85_24-Tot-cat.NonM_Method B.tif;Non-material;Total Non-material services;RCP 8.5 (2020-2049);Method 'NCP-BIN-SP'
categories/05-Fut.A-85_24-Tot-cat.NonM_Method C.tif;Non-material;Total Non-material services;RCP 8.5 (2020-2049);Method 'NCP-HS'
categories/05-Fut.A-85_27-Tot-cat.All_Method A.tif;All;Total NCPs;RCP 8.5 (2020-2049);Method 'NCP-BIN'
categories/05-Fut.A-85_27-Tot-cat.All_Method B.tif;All;Total NCPs;RCP 8.5 (2020-2049);Method 'NCP-BIN-SP'
categories/05-Fut.A-85_27-Tot-cat.All_Method C.tif;All;Total NCPs;RCP 8.5 (2020-2049);Method 'NCP-HS'
categories/07-Fut.C-85_01-Pot.cro-cat.Mat_Method A.tif;Material;Potential crop (genetic ressources);RCP 8.5 (2070-2099);Method 'NCP-BIN'
categories/07-Fut.C-85_01-Pot.cro-cat.Mat_Method B.tif;Material;Potential crop (genetic ressources);RCP 8.5 (2070-2099);Method 'NCP-BIN-SP'
categories/07-Fut.C-85_01-Pot.cro-cat.Mat_Method C.tif;Material;Potential crop (genetic ressources);RCP 8.5 (2070-2099);Method 'NCP-HS'
categories/07-Fut.C-85_02-Sol.woo-cat.Mat_Method A.tif;Material;Solid wood;RCP 8.5 (2070-2099);Method 'NCP-BIN'
categories/07-Fut.C-85_02-Sol.woo-cat.Mat_Method B.tif;Material;Solid wood;RCP 8.5 (2070-2099);Method 'NCP-BIN-SP'
categories/07-Fut.C-85_02-Sol.woo-cat.Mat_Method C.tif;Material;Solid wood;RCP 8.5 (2070-2099);Method 'NCP-HS'
categories/07-Fut.C-85_03-Bur.woo-cat.Mat_Method A.tif;Material;Burned wood;RCP 8.5 (2070-2099);Method 'NCP-BIN'
categories/07-Fut.C-85_03-Bur.woo-cat.Mat_Method B.tif;Material;Burned wood;RCP 8.5 (2070-2099);Method 'NCP-BIN-SP'
categories/07-Fut.C-85_03-Bur.woo-cat.Mat_Method C.tif;Material;Burned wood;RCP 8.5 (2070-2099);Method 'NCP-HS'
categories/07-Fut.C-85_04-Wil.foo-cat.Mat_Method A.tif;Material;Wild food;RCP 8.5 (2070-2099);Method 'NCP-BIN'
categories/07-Fut.C-85_04-Wil.foo-cat.Mat_Method B.tif;Material;Wild food;RCP 8.5 (2070-2099);Method 'NCP-BIN-SP'
categories/07-Fut.C-85_04-Wil.foo-cat.Mat_Method C.tif;Material;Wild food;RCP 8.5 (2070-2099);Method 'NCP-HS'
categories/07-Fut.C-85_05-Wil.use-cat.Mat_Method A.tif;Material;Wild use medicinal, dye, fur;RCP 8.5 (2070-2099);Method 'NCP-BIN'
categories/07-Fut.C-85_05-Wil.use-cat.Mat_Method B.tif;Material;Wild use medicinal, dye, fur;RCP 8.5 (2070-2099);Method 'NCP-BIN-SP'
categories/07-Fut.C-85_05-Wil.use-cat.Mat_Method C.tif;Material;Wild use medicinal, dye, fur;RCP 8.5 (2070-2099);Method 'NCP-HS'
categories/07-Fut.C-85_06-Mel-cat.Mat_Method A.tif;Material;Mellifera (for domestic species);RCP 8.5 (2070-2099);Method 'NCP-BIN'
categories/07-Fut.C-85_06-Mel-cat.Mat_Method B.tif;Material;Mellifera (for domestic species);RCP 8.5 (2070-2099);Method 'NCP-BIN-SP'
categories/07-Fut.C-85_06-Mel-cat.Mat_Method C.tif;Material;Mellifera (for domestic species);RCP 8.5 (2070-2099);Method 'NCP-HS'
categories/07-Fut.C-85_07-For.pas-cat.Mat_Method A.tif;Material;Forage-pasture;RCP 8.5 (2070-2099);Method 'NCP-BIN'
categories/07-Fut.C-85_07-For.pas-cat.Mat_Method B.tif;Material;Forage-pasture;RCP 8.5 (2070-2099);Method 'NCP-BIN-SP'
categories/07-Fut.C-85_07-For.pas-cat.Mat_Method C.tif;Material;Forage-pasture;RCP 8.5 (2070-2099);Method 'NCP-HS'
categories/07-Fut.C-85_08-Tot-cat.Mat_Method A.tif;Material;Total material services;RCP 8.5 (2070-2099);Method 'NCP-BIN'
categories/07-Fut.C-85_08-Tot-cat.Mat_Method B.tif;Material;Total material services;RCP 8.5 (2070-2099);Method 'NCP-BIN-SP'
categories/07-Fut.C-85_08-Tot-cat.Mat_Method C.tif;Material;Total material services;RCP 8.5 (2070-2099);Method 'NCP-HS'
categories/07-Fut.C-85_11-Dec-cat.Reg_Method A.tif;Regulating/maintenance;Decontamination;RCP 8.5 (2070-2099);Method 'NCP-BIN'
categories/07-Fut.C-85_11-Dec-cat.Reg_Method B.tif;Regulating/maintenance;Decontamination;RCP 8.5 (2070-2099);Method 'NCP-BIN-SP'
categories/07-Fut.C-85_11-Dec-cat.Reg_Method C.tif;Regulating/maintenance;Decontamination;RCP 8.5 (2070-2099);Method 'NCP-HS'
categories/07-Fut.C-85_12-Riv.ero-cat.Reg_Method A.tif;Regulating/maintenance;Riverbank erosion;RCP 8.5 (2070-2099);Method 'NCP-BIN'
categories/07-Fut.C-85_12-Riv.ero-cat.Reg_Method B.tif;Regulating/maintenance;Riverbank erosion;RCP 8.5 (2070-2099);Method 'NCP-BIN-SP'
categories/07-Fut.C-85_12-Riv.ero-cat.Reg_Method C.tif;Regulating/maintenance;Riverbank erosion;RCP 8.5 (2070-2099);Method 'NCP-HS'
categories/07-Fut.C-85_13-Hed.cro-cat.Reg_Method A.tif;Regulating/maintenance;Hedge for crop yield;RCP 8.5 (2070-2099);Method 'NCP-BIN'
categories/07-Fut.C-85_13-Hed.cro-cat.Reg_Method B.tif;Regulating/maintenance;Hedge for crop yield;RCP 8.5 (2070-2099);Method 'NCP-BIN-SP'
categories/07-Fut.C-85_13-Hed.cro-cat.Reg_Method C.tif;Regulating/maintenance;Hedge for crop yield;RCP 8.5 (2070-2099);Method 'NCP-HS'
categories/07-Fut.C-85_14-Red.dam-cat.Reg_Method A.tif;Regulating/maintenance;Reduction of species damage and-or disease vector species;RCP 8.5 (2070-2099);Method 'NCP-BIN'
categories/07-Fut.C-85_14-Red.dam-cat.Reg_Method B.tif;Regulating/maintenance;Reduction of species damage and-or disease vector species;RCP 8.5 (2070-2099);Method 'NCP-BIN-SP'
categories/07-Fut.C-85_14-Red.dam-cat.Reg_Method C.tif;Regulating/maintenance;Reduction of species damage and-or disease vector species;RCP 8.5 (2070-2099);Method 'NCP-HS'
categories/07-Fut.C-85_15-Red.run-cat.Reg_Method A.tif;Regulating/maintenance;Reduce runoff from agroecosystems;RCP 8.5 (2070-2099);Method 'NCP-BIN'
categories/07-Fut.C-85_15-Red.run-cat.Reg_Method B.tif;Regulating/maintenance;Reduce runoff from agroecosystems;RCP 8.5 (2070-2099);Method 'NCP-BIN-SP'
categories/07-Fut.C-85_15-Red.run-cat.Reg_Method C.tif;Regulating/maintenance;Reduce runoff from agroecosystems;RCP 8.5 (2070-2099);Method 'NCP-HS'
categories/07-Fut.C-85_16-Key.spe-cat.Reg_Method A.tif;Regulating/maintenance;Keystone species;RCP 8.5 (2070-2099);Method 'NCP-BIN'
categories/07-Fut.C-85_16-Key.spe-cat.Reg_Method B.tif;Regulating/maintenance;Keystone species;RCP 8.5 (2070-2099);Method 'NCP-BIN-SP'
categories/07-Fut.C-85_16-Key.spe-cat.Reg_Method C.tif;Regulating/maintenance;Keystone species;RCP 8.5 (2070-2099);Method 'NCP-HS'
categories/07-Fut.C-85_17-Red.lan-cat.Reg_Method A.tif;Regulating/maintenance;Reduce landslide;RCP 8.5 (2070-2099);Method 'NCP-BIN'
categories/07-Fut.C-85_17-Red.lan-cat.Reg_Method B.tif;Regulating/maintenance;Reduce landslide;RCP 8.5 (2070-2099);Method 'NCP-BIN-SP'
categories/07-Fut.C-85_17-Red.lan-cat.Reg_Method C.tif;Regulating/maintenance;Reduce landslide;RCP 8.5 (2070-2099);Method 'NCP-HS'
categories/07-Fut.C-85_18-Tot-cat.Reg_Method A.tif;Regulating/maintenance;Total Regulating/maintenance services;RCP 8.5 (2070-2099);Method 'NCP-BIN'
categories/07-Fut.C-85_18-Tot-cat.Reg_Method B.tif;Regulating/maintenance;Total Regulating/maintenance services;RCP 8.5 (2070-2099);Method 'NCP-BIN-SP'
categories/07-Fut.C-85_18-Tot-cat.Reg_Method C.tif;Regulating/maintenance;Total Regulating/maintenance services;RCP 8.5 (2070-2099);Method 'NCP-HS'
categories/07-Fut.C-85_21-Ico.spe-cat.NonM_Method A.tif;Non-material;Iconic species;RCP 8.5 (2070-2099);Method 'NCP-BIN'
categories/07-Fut.C-85_21-Ico.spe-cat.NonM_Method B.tif;Non-material;Iconic species;RCP 8.5 (2070-2099);Method 'NCP-BIN-SP'
categories/07-Fut.C-85_21-Ico.spe-cat.NonM_Method C.tif;Non-material;Iconic species;RCP 8.5 (2070-2099);Method 'NCP-HS'
categories/07-Fut.C-85_22-Sci.int-cat.NonM_Method A.tif;Non-material;Scientific interest;RCP 8.5 (2070-2099);Method 'NCP-BIN'
categories/07-Fut.C-85_22-Sci.int-cat.NonM_Method B.tif;Non-material;Scientific interest;RCP 8.5 (2070-2099);Method 'NCP-BIN-SP'
categories/07-Fut.C-85_22-Sci.int-cat.NonM_Method C.tif;Non-material;Scientific interest;RCP 8.5 (2070-2099);Method 'NCP-HS'
categories/07-Fut.C-85_23-Lin.end-cat.NonM_Method A.tif;Non-material;Linked with an endangered habitat;RCP 8.5 (2070-2099);Method 'NCP-BIN'
categories/07-Fut.C-85_23-Lin.end-cat.NonM_Method B.tif;Non-material;Linked with an endangered habitat;RCP 8.5 (2070-2099);Method 'NCP-BIN-SP'
categories/07-Fut.C-85_23-Lin.end-cat.NonM_Method C.tif;Non-material;Linked with an endangered habitat;RCP 8.5 (2070-2099);Method 'NCP-HS'
categories/07-Fut.C-85_24-Tot-cat.NonM_Method A.tif;Non-material;Total Non-material services;RCP 8.5 (2070-2099);Method 'NCP-BIN'
categories/07-Fut.C-85_24-Tot-cat.NonM_Method B.tif;Non-material;Total Non-material services;RCP 8.5 (2070-2099);Method 'NCP-BIN-SP'
categories/07-Fut.C-85_24-Tot-cat.NonM_Method C.tif;Non-material;Total Non-material services;RCP 8.5 (2070-2099);Method 'NCP-HS'
categories/07-Fut.C-85_27-Tot-cat.All_Method A.tif;All;Total NCPs;RCP 8.5 (2070-2099);Method 'NCP-BIN'
categories/07-Fut.C-85_27-Tot-cat.All_Method B.tif;All;Total NCPs;RCP 8.5 (2070-2099);Method 'NCP-BIN-SP'
categories/07-Fut.C-85_27-Tot-cat.All_Method C.tif;All;Total NCPs;RCP 8.5 (2070-2099);Method 'NCP-HS'
